C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:46:10

dec >=0&rah >=4.75&rah< 5.0&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 5001

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1   |S1* 77                                                                                                   |S Star                              |04 45 11.5999116984 +46 22 29.968421952|158.9403281346325 +00.4974892029458|   1.992 -5.905  |10.81    |S                 |    ~     ~    |    1| 1102.050   pc  | -21.4969    +21.4969  |paral   |2020yCat.1350....0G
2   |BD+45 981                                                                                                |Star                                |04 45 47.8333137624 +45 44 13.478679276|159.4927118132606 +00.1616423003721| 10.014 -15.539  |9.53     |A0V               |    ~     ~    |    1|  338.868   pc  |  -3.6861     +3.6861  |paral   |2020yCat.1350....0G
3   |BD+45 985                                                                                                |High Proper Motion Star             |04 47 40.1435296368 +45 17 47.153652108|160.0407935606494 +00.1256902185497| 54.639 -96.828  |9.76     |F8V               |    ~     ~    |    1|  121.665   pc  |  -0.2324     +0.2324  |paral   |2020yCat.1350....0G
4   |HD 30221                                                                                                 |Star                                |04 47 53.3440017384 +45 29 21.806819556|159.9183993338058 +00.2797842323805|  4.011 -36.462  |7.75     |A0III             |    ~     ~    |    1|  149.245   pc  |  -4.2788     +4.2788  |paral   |2020yCat.1350....0G
5   |BD+44 1015                                                                                               |Star                                |04 45 33.5801729088 +44 22 12.903782268|160.5033315530093 -00.7595914864480| 29.345 -27.440  |9.84     |F7V               |    ~     ~    |    1|  135.650   pc  |  -0.4416     +0.4416  |paral   |2020yCat.1350....0G
6   |BD+44 1016                                                                                               |High Proper Motion Star             |04 45 52.0621379472 +45 05 32.573099400|159.9904943236631 -00.2482353349450| 49.320 -51.528  |8.99     |G8IV              |    ~     ~    |    1|  209.214   pc  |  -0.8098     +0.8098  |paral   |2020yCat.1350....0G
7   |BD+44 1018                                                                                               |Star                                |04 46 44.5939408608 +45 10 37.190925552|160.0263817442386 -00.0758575425599|   2.050 -3.329  |9.49     |K0                |    ~     ~    |    1|  782.044   pc  |  -9.6020     +9.6020  |paral   |2020yCat.1350....0G
8   |BD+44 1021                                                                                               |Star                                |04 47 43.2547601664 +45 11 24.379482624|160.1278572106761 +00.0639771218349|  -1.474 -2.714  |9.47     |A3V               |    ~     ~    |    1|  314.663   pc  |  -1.7327     +1.7327  |paral   |2020yCat.1350....0G
9   |BD+44 1023                                                                                               |Star                                |04 47 58.8882345816 +45 07 07.138764408|160.2120830643662 +00.0529281522973|   1.772 -6.404  |10.30    |A0                |    ~     ~    |    1|  677.507   pc  |  -7.7574     +7.7574  |paral   |2020yCat.1350....0G
10  |BD+44 1025                                                                                               |Star                                |04 48 16.5838474368 +44 30 31.612771296|160.7119096492375 -00.3004137212352| -1.662 -15.446  |9.59     |G0V               |    ~     ~    |    1|  148.524   pc  |  -0.2912     +0.2912  |paral   |2020yCat.1350....0G
11  |BD+44 1026                                                                                               |Star                                |04 48 52.4771277648 +44 54 20.639245392|160.4766229011296 +00.0364969860503|   2.018 -6.310  |9.91     |A0                |    ~     ~    |    1|  714.745   pc  |  -9.7064     +9.7064  |paral   |2020yCat.1350....0G
12  |BD+43 1050                                                                                               |Emission-line Star                  |04 46 21.2570129808 +44 13 35.404900032|160.7050048421183 -00.7449754302552|   0.324 -1.312  |10.5     |B2                |    ~     ~    |    0|                |                       |        |                   
13  |HD 276812                                                                                                |Star                                |04 48 45.0778769568 +44 06 15.607344528|161.0760465673731 -00.4958763914107|   0.728 -2.828  |10.7     |B9                |    ~     ~    |    1| 1777.462   pc  |-102.3636   +102.3636  |paral   |2020yCat.1350....0G
14  |BD+43 1074                                                                                               |Star                                |04 49 21.4873625520 +44 14 24.590047416|161.0419217710734 -00.3252166277857| 12.314 -18.894  |9.80     |A5III             |    ~     ~    |    1|  272.777   pc  |  -2.8870     +2.8870  |paral   |2020yCat.1350....0G
15  |HD 30409                                                                                                 |Star                                |04 49 26.5333496136 +44 14 22.657085232|161.0520026465516 -00.3140114835116| 11.760 -19.111  |8.33     |B9V               |    ~     ~    |    1|  263.720   pc  |  -1.7874     +1.7874  |paral   |2020yCat.1350....0G
16  |BD+43 1078                                                                                               |Emission-line Star                  |04 49 43.8663925224 +44 14 00.874221360|161.0898374151219 -00.2781980092997|  -1.919 -3.805  |9.87     |B9                |    ~     ~    |    1|  740.521   pc  | -16.7253    +16.7253  |paral   |2020yCat.1350....0G
17  |BD+43 1084                                                                                               |Star                                |04 50 15.1793425272 +44 10 40.333396044|161.1925231796120 -00.2420563030649|   3.548 -5.903  |10.51    |G0                |    ~     ~    |    1|  728.969   pc  |  -7.3333     +7.3333  |paral   |2020yCat.1350....0G
18  |HD 29957                                                                                                 |Star                                |04 45 21.1474749936 +43 47 08.587260564|160.9228125408312 -01.1684303864300|  4.696 -10.620  |7.65     |K5III             |    ~     ~    |    1|  286.566   pc  |  -1.6096     +1.6096  |paral   |2020yCat.1350....0G
19  |HD 276738                                                                                                |Be Star                             |04 45 51.3276189744 +43 59 39.820295148|160.8233184704898 -00.9638263655850|   1.451 -6.051  |9.70     |B5                |    ~     ~    |    1|  970.685   pc  | -27.0420    +27.0420  |paral   |2020yCat.1350....0G
20  |HD 30255                                                                                                 |Double or Multiple Star             |04 48 00.3318234360 +43 39 22.506523704|161.3321800574683 -00.8873395427067|       4.3 -6.4  |9.14     |A0V               |    ~     ~    |    0|                |                       |        |                   
21  |HD 276814                                                                                                |Star                                |04 48 05.6913423240 +44 00 16.685088876|161.0763277259736 -00.6503128546343|   1.546 -0.544  |10.28    |F2                |    ~     ~    |    1|  253.299   pc  |  -1.0458     +1.0458  |paral   |2020yCat.1350....0G
22  |HD 276823                                                                                                |Star                                |04 48 34.3547135664 +43 48 49.890735144|161.2776737544095 -00.7074471680498|  9.309 -13.562  |9.06     |F5                |    ~     ~    |    1|  291.945   pc  |  -2.1393     +2.1393  |paral   |2020yCat.1350....0G
23  |HD 276816                                                                                                |Star                                |04 48 54.0375147600 +43 58 18.810422040|161.1947214966073 -00.5605214830120|  45.249 18.247  |9.65     |F8                |    ~     ~    |    1|  118.319   pc  |  -0.2268     +0.2268  |paral   |2020yCat.1350....0G
24  |HD 276826                                                                                                |Star                                |04 49 05.6010911760 +43 36 48.721124088|161.4916082295943 -00.7642377413449|  2.067 -11.170  |8.90     |K5                |    ~     ~    |    1|  695.652   pc  | -11.6144    +11.6144  |paral   |2020yCat.1350....0G
25  |HD 276828                                                                                                |Star                                |04 49 36.5179339536 +43 38 45.668250420|161.5265621194578 -00.6718919893800|  9.884 -10.910  |9.96     |G5V               |    ~     ~    |    1|  655.953   pc  |  -6.9704     +6.9704  |paral   |2020yCat.1350....0G
26  |HD 30481                                                                                                 |Star                                |04 50 10.1463613320 +44 02 59.620404912|161.2812209503236 -00.3355303988742|  -0.455 -2.957  |9.22     |B5V               |    ~     ~    |    1|  725.216   pc  | -23.5620    +23.5620  |paral   |2020yCat.1350....0G
27  |HD 276820                                                                                                |Double or Multiple Star             |04 50 12.7016722704 +43 53 13.321306687|161.4112604263250 -00.4338812103503|     14.5 -41.8  |10.55    |K2                |    ~     ~    |    0|                |                       |        |                   
28  |HD 276821                                                                                                |Star                                |04 50 20.2105223568 +43 50 16.717085016|161.4633959118567 -00.4479338707421|  -8.825 -9.551  |9.13     |F5                |    ~     ~    |    1|  115.141   pc  |  -0.2068     +0.2068  |paral   |2020yCat.1350....0G
29  |HD 276819                                                                                                |Star                                |04 50 51.7324484160 +43 52 19.643618712|161.4976608169199 -00.3532668603356|  -0.629 -3.228  |10.12    |A2                |    ~     ~    |    1|  569.833   pc  |  -5.9422     +5.9422  |paral   |2020yCat.1350....0G
30  |NGC 1664 456                       HD 276818                                                             |Star                                |04 50 59.6981656864 +43 50 16.182514098|161.5393379981001 -00.3567342198166|   1.680 -5.867  |11.63    |B9                |    ~     ~    |    1| 1434.51    pc  | -34.9831    +34.9831  |paral   |2020yCat.1350....0G
31  |NGC 1664 542                       BD+43 1092                                                            |Pulsating Variable                  |04 51 06.0082298664 +43 50 47.843722284|161.5446651452168 -00.3365211503438|  -1.507 -1.330  |9.71     |B9pSi             |    ~     ~    |    1|  722.282   pc  | -31.5624    +31.5624  |paral   |2020yCat.1350....0G
32  |Cl* NGC 1664 KNM 24                                                                                      |Star                                |04 49 16.7797680240 +43 45 27.695092356|161.4027536449464 -00.6458211048715|  -0.304 -1.370  |10.78    |B4                |    ~     ~    |    1| 2992.220   pc  |-159.3702   +159.3702  |paral   |2020yCat.1350....0G
33  |HD 276740                                                                                                |Star                                |04 46 47.9760588456 +43 44 43.358095716|161.1232443210861 -00.9959995088661|   0.398 -4.731  |10.69    |A                 |    ~     ~    |    1|  661.244   pc  |  -9.7505     +9.7505  |paral   |2020yCat.1350....0G
34  |HD 276742                                                                                                |Star                                |04 46 27.3585128496 +43 30 51.619546044|161.2588663414373 -01.1931251805112|  -2.998 -1.427  |9.36     |G5                |    ~     ~    |    1|  432.227   pc  |  -2.7649     +2.7649  |paral   |2020yCat.1350....0G
35  |IRAS 04450+4410                                                                                          |Long-Period Variable                |04 48 36.7038045096 +44 16 09.732645012|160.9336269845299 -00.4088108038377|  -2.983 -4.634  |10.38    |M5                |    ~     ~    |    1| 1311.303   pc  | -49.3501    +49.3501  |paral   |2020yCat.1350....0G
