C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:08:15

Vmag< 11&dec >=0&rah >=8.5&rah< 8.75
------------------------------------

Number of objects : 3860

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------
1   |BD+89 10                                                              |Star                           |08 44 16.2335647392 +88 49 32.851526844|124.1003878464232 +27.6784312951130|   2.424 44.498   |10.32    |G0                   |    ~     ~    
2   |BD+86 116                                                             |Star                           |08 43 52.3300975032 +86 13 42.185802576|126.7302938092846 +28.8539383497545|   20.634 3.132   |9.59     |G8                   |    ~     ~    
3   |BD+86 115                                                             |Star                           |08 38 04.7021653752 +85 41 13.474909464|127.3388027810558 +28.9943914585611|  11.106 -2.674   |10.76    |K0                   |    ~     ~    
4   |BD+85 124                                                             |High Proper Motion Star        |08 36 14.5470882672 +85 14 18.235064616|127.8239421088795 +29.1454876629558|-40.741 -40.406   |8.59     |K2                   |    ~     ~    
5   |BD+85 123                                                             |Star                           |08 32 49.7102458584 +85 18 14.066521056|127.7872565105135 +29.0548547499948|-11.818 -33.194   |10.74    |F8                   |    ~     ~    
6   |BD+85 125                                                             |Star                           |08 34 32.3246690976 +84 48 06.681642012|128.2993362032205 +29.2861193491280|   -3.262 0.133   |9.33     |F5                   |    ~     ~    
7   |BD+85 126                                                             |Star                           |08 36 41.4115979208 +84 47 36.649065408|128.2858008292128 +29.3341686717840|   0.180 -1.570   |10.43    |F5                   |    ~     ~    
8   |BD+84 176                                                             |Star                           |08 30 38.7000090768 +84 16 38.337217428|128.8956816018066 +29.4022269556288|  -0.079 -0.906   |10.70    |K0                   |    ~     ~    
9   |BD+84 177                                                             |High Proper Motion Star        |08 32 29.0371602744 +84 13 23.998970424|128.9330950016940 +29.4652639836210|-46.762 -56.996   |9.62     |F8                   |    ~     ~    
10  |BD+84 178                                                             |Star                           |08 37 37.6297566192 +84 12 44.787219012|128.8862868057189 +29.5887121746955|  -5.017 -3.807   |8.71     |K0                   |    ~     ~    
11  |HD 70176                                                              |Star                           |08 39 27.3818464776 +84 26 26.881382436|128.6253171992075 +29.5370965956902|-13.820 -23.040   |8.38     |G0                   |    ~     ~    
