C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:22:54

Vmag< 11&dec >=0&rah >=10.25&rah< 10.5
--------------------------------------

Number of objects : 2514

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------
1   |BD+89 12                                                                                                 |Star                           |10 29 17.9539720296 +89 04 54.786670608|123.5355508163490 +27.8740886268913|   -5.131 5.940   |9.77     |G0                 |    ~     ~    
2   |BD+88 57                                                                                                 |Spectroscopic Binary           |10 16 48.4272606936 +87 55 58.996357572|124.4042460226501 +28.7346103729371|  -23.176 5.109   |10.44    |G0                 |    ~     ~    
3   |BD+86 142                                                                                                |Star                           |10 16 10.9178713344 +85 56 27.099762288|125.8763511369759 +30.2601956967605|   5.122 -3.349   |10.71    |~                  |    ~     ~    
4   |HD 87171                                                                                                 |Star                           |10 18 30.5693645568 +85 49 43.844777832|125.9225898064455 +30.3728786017835|   -0.431 9.353   |8.34     |A3                 |    ~     ~    
5   |BD+86 147                                                                                                |Star                           |10 23 51.4506652656 +85 59 39.592729104|125.7161635877602 +30.3041203230680|   -3.370 1.111   |10.89    |G5                 |    ~     ~    
6   |BD+86 148                                                                                                |Star                           |10 25 28.8437928192 +86 04 00.542421912|125.6388406612349 +30.2643092911005|   -7.397 5.573   |10.60    |G2                 |    ~     ~    
7   |BD+86 144                                                                                                |Star                           |10 16 41.6054964600 +85 22 57.423795096|126.2864655148534 +30.6924009641569| -16.275 -8.759   |10.53    |G0                 |    ~     ~    
8   |BD+86 145                                                                                                |Star                           |10 19 03.3365853552 +85 41 42.047036880|126.0125661348079 +30.4823944502978|  12.452 -0.913   |10.37    |G8                 |    ~     ~    
9   |HD 87787                                                                                                 |Star                           |10 20 53.2886413176 +85 26 01.799128356|126.1733169312903 +30.7067207620831|  -0.251 -7.042   |9.20     |A0                 |    ~     ~    
10  |BD+86 149                                                                                                |Star                           |10 27 56.7538664928 +85 31 31.423118304|125.9803773390360 +30.7209916574422| -16.280 -3.896   |8.94     |G8                 |    ~     ~    
11  |BD+85 154                                                                                                |Star                           |10 15 59.3678889576 +84 26 39.181787196|127.0128336705547 +31.3949315578950|   5.670 10.347   |9.41     |F8                 |    ~     ~    
12  |HD 88045                                                                                                 |Spectroscopic Binary           |10 21 58.1068918536 +85 16 53.558699664|126.2653434934982 +30.8386965996770|    5.245 4.117   |8.60     |G5                 |    ~     ~    
13  |BD+85 156                                                                                                |Spectroscopic Binary           |10 21 18.3424152672 +84 26 15.698900184|126.9024568209654 +31.4829616338235|  -0.366 -3.312   |10.21    |K3                 |    ~     ~    
14  |BD+85 157                                                                                                |High Proper Motion Star        |10 25 58.4126040120 +84 51 27.927038844|126.4949585473081 +31.2237611572659|-67.876 -50.097   |9.26     |G8                 |    ~     ~    
15  |BD+85 158                                                                                                |Star                           |10 27 11.1253721880 +84 54 07.919892108|126.4380759930070 +31.2053343869381|    9.096 4.352   |8.69     |G8                 |    ~     ~    
