C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:52:07

Vmag< 11&dec >=0&rah >=14.5&rah< 14.75
--------------------------------------

Number of objects : 2292

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
1   |BD+89 28                                                              |Star                              |14 31 39.0151278336 +88 51 31.818971052|122.3838361350066 +28.1609823168458|  18.072 -9.908   |8.65     |K3                |    ~     ~    
2   |BD+88 91                                                              |Star                              |14 37 21.2340732168 +87 44 42.432840528|121.7810531059850 +29.1418808179624|   -3.551 5.475   |10.16    |F0                |    ~     ~    
3   |HD 135294                                                             |Star                              |14 40 18.3187385664 +87 12 53.170852716|121.4673317351086 +29.5974748341887| -10.535 21.299   |6.910    |K0                |    ~     ~    
4   |TYC 4642-573-1                                                        |Star                              |14 44 10.2709469592 +86 54 47.297123604|121.2517702038784 +29.8390911564977|  -4.961 11.005   |10.59    |~                 |    ~     ~    
5   |BD+86 219                                                             |Star                              |14 43 50.7914 +85 25 22.427            |120.4147167 +31.1431731            |  -3.830 -0.155   |10.43    |G5                |    ~     ~    
6   |BD+85 244                                                             |Star                              |14 30 39.2708935728 +84 55 49.393045560|120.4344569650700 +31.7079397612727|   18.617 3.095   |10.66    |F8                |    ~     ~    
7   |BD+85 245                                                             |Star                              |14 32 13.8855059808 +84 48 12.607920180|120.3312420409658 +31.8061302373495|  -0.021 -5.612   |9.86     |K2                |    ~     ~    
8   |BD+85 246                                                             |High Proper Motion Star           |14 33 11.1953714520 +84 33 55.702113408|120.1822360567669 +32.0089776113928|  -82.124 2.611   |10.58    |G5                |    ~     ~    
9   |BD+85 247                                                             |Spectroscopic Binary              |14 35 32.4895408392 +84 51 56.558477844|120.2862065266714 +31.7169452741265|  -2.399 10.153   |9.18     |F8                |    ~     ~    
10  |BD+85 248                                                             |Double or Multiple Star           |14 41 57.6753060120 +85 17 42.088475796|120.3809597758540 +31.2734484165905|   6.146 17.192   |8.84     |F5                |0.0050  0.0    
11  |BD+84 329                                                             |Star                              |14 32 06.8523779160 +84 18 24.485647464|120.0724552387479 +32.2517600208868|  -14.322 3.873   |9.80     |A0                |    ~     ~    
12  |BD+84 331                                                             |Star                              |14 35 53.2997048808 +84 00 39.276065556|119.8115678854774 +32.4713146885726|  -14.428 9.937   |10.34    |K2                |    ~     ~    
13  |BD+84 332                                                             |Star                              |14 37 22.5981930576 +83 48 07.785284904|119.6542948639763 +32.6373333199221| -0.389 -19.745   |10.53    |F8                |    ~     ~    
14  |BD+84 333                                                             |Star                              |14 37 46.8551021880 +83 52 08.856226992|119.6804555306764 +32.5731747919330|  -6.221 -7.583   |9.86     |G5                |    ~     ~    
15  |BD+84 334                                                             |Star                              |14 36 14.5031697192 +84 23 14.162331768|120.0088901762216 +32.1338126082028| -37.234 30.745   |9.89     |F8                |    ~     ~    
16  |BD+84 330                                                             |Star                              |14 34 56.3226609960 +83 34 52.898600028|119.6021422216784 +32.8638568298549|  7.727 -26.215   |10.52    |F5                |    ~     ~    
17  |AG+83 369                                                             |Star                              |14 30 38.4597984360 +83 08 14.210749104|119.4932919379874 +33.3158641630253| 14.834 -22.999   |10.79    |~                 |    ~     ~    
18  |AG+83 368                                                             |High Proper Motion Star           |14 30 36.8933932800 +83 08 13.716306024|119.4940535091019 +33.3163354073735|109.898 -60.397   |10.90    |~                 |    ~     ~    
19  |BD+83 420                                                             |Star                              |14 31 23.7068 +82 57 12.002            |119.3699952 +33.4700081            | -34.834 21.348   |9.85     |F5                |    ~     ~    
20  |BD+83 421                                                             |High Proper Motion Star           |14 32 12.0241714776 +82 52 56.616454272|119.3049553781602 +33.5220354508298| -10.912 56.682   |10.20    |G5                |    ~     ~    
21  |BD+83 422A                                                            |Star                              |14 32 38.2719 +83 09 13.183            |119.4385012 +33.2743811            |  10.445 -3.833   |10.20    |~                 |    ~     ~    
22  |BD+83 425                                                             |Star                              |14 37 13.4161420032 +83 07 13.198104156|119.2749082552233 +33.2402710089173|  -16.204 9.548   |10.11    |F0                |    ~     ~    
23  |BD+83 427                                                             |Star                              |14 37 53.7988184448 +83 13 26.734240056|119.3127716854497 +33.1394630464346|  6.261 -14.212   |9.87     |F5                |    ~     ~    
