C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:07:10

Vmag< 11&dec< 0&rah >=16.25&rah< 16.5
-------------------------------------

Number of objects : 6198

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1   |HD 146289                                                                                                |Star                                  |16 17 06.4513204656 -39 46 50.113485084|340.2526826637497 +07.7460701210682|-27.897 -21.342   |10.30    |G5(V)          |    ~     ~    
2   |HD 146288                                                                                                |Spectroscopic Binary                  |16 17 12.0629793096 -39 34 02.114007024|340.4168530784858 +07.8852873187746|-69.547 -31.540   |10.60    |G5V(e)         |    ~     ~    
3   |HD 146354                                                                                                |Star                                  |16 17 30.5356807464 -39 48 58.334560272|340.2827998717980 +07.6665574022072|   0.998 -2.560   |9.36     |G6/K0          |    ~     ~    
4   |HD 146499                                                                                                |High Proper Motion Star               |16 18 12.5684112240 -39 44 52.167032592|340.4278275116641 +07.6204137676260| 15.982 -72.369   |9.74     |G0V            |    ~     ~    
5   |HD 146498                                                                                                |Star                                  |16 18 13.4340042480 -39 36 34.529097852|340.5281054341508 +07.7165355525801|  -1.434 -3.824   |9.48     |K0             |    ~     ~    
6   |HD 146548                                                                                                |Star                                  |16 18 28.0349536008 -39 44 20.257905588|340.4695910709011 +07.5917725114151|-33.387 -33.608   |10.66    |F5/7V          |    ~     ~    
7   |HD 146334                                                                                                |Star                                  |16 17 28.4245784136 -40 10 48.453585708|340.0199993225564 +07.4123732565319|-11.864 -21.358   |9.88     |K2             |    ~     ~    
8   |HD 145903                                                                                                |High Proper Motion Star               |16 15 07.6025501376 -40 34 39.010003068|339.4175617530236 +07.4411596153078|-10.840 -49.687   |9.44     |F5V            |    ~     ~    
9   |HD 325469                                                                                                |Star                                  |16 15 26.5570927920 -40 22 15.874010328|339.6061665483720 +07.5472475345906|-26.408 -35.145   |10.40    |G1V            |    ~     ~    
10  |HD 145983                                                                                                |Star                                  |16 15 29.2552198776 -40 23 50.274859704|339.5938984744701 +07.5224880722002|  -1.771 -2.877   |9.52     |B7Ib/II        |    ~     ~    
11  |HD 146458                                                                                                |Star                                  |16 18 09.6152373120 -40 59 06.093068028|339.5434143201833 +06.7481645865904|-11.063 -17.779   |9.44     |F6V            |    ~     ~    
12  |HD 325441                                                                                                |High Proper Motion Star               |16 15 17.1597954264 -41 26 33.624153240|338.8320503523908 +06.7993882892911| -3.384 -64.640   |9.77     |K5             |    ~     ~    
13  |HD 145984                                                                                                |Star                                  |16 15 37.1533231968 -41 38 58.765522416|338.7319542279583 +06.6074329619176|-19.170 -28.749   |8.85     |F2V            |    ~     ~    
14  |HD 146440                                                                                                |Star                                  |16 18 09.6842737728 -41 36 50.993198388|339.0985207802521 +06.3004570768498|   14.824 2.939   |10.30    |A9/F0II/III    |    ~     ~    
15  |HD 146474                                                                                                |Star                                  |16 18 22.7839504296 -41 58 47.951570280|338.8691381120260 +06.0115451346864|-11.029 -11.988   |10.28    |F6(V)          |    ~     ~    
16  |HD 325478                                                                                                |Star                                  |16 17 09.7341822888 -41 34 34.321200456|338.9913336870050 +06.4585433347694|  -1.769 -4.844   |10.94    |F5             |    ~     ~    
17  |CD-39 10384                                                                                              |Star                                  |16 17 47.1867837672 -39 23 42.527938128|340.6201310251937 +07.9281849567456| -2.631 -13.556   |10.45    |~              |    ~     ~    
18  |[SC96] Mis 21                                                                                            |Star                                  |16 15 00.0 -39 38 00                   |340.0644 +08.1349                  |            ~ ~   |6.88     |~              |    ~     ~    
19  |CD-39 10371                                                                                              |Star                                  |16 15 12.2558742960 -39 31 45.354391032|340.1662562019037 +08.1819985265747|   1.814 -5.025   |10.54    |~              |    ~     ~    
20  |CD-39 10370                                                                                              |Star                                  |16 15 11.3913399840 -40 04 07.341642624|339.7841218615728 +07.7975517727329|    0.600 6.676   |10.15    |~              |    ~     ~    
21  |HD 325470                                                                                                |Star                                  |16 15 18.8661666288 -40 28 17.079221424|339.5179420099052 +07.4923660248994|  -7.304 -4.943   |10.51    |K0             |    ~     ~    
22  |HD 325475                                                                                                |Star                                  |16 18 39.3552905904 -41 21 56.334100392|339.3406047484963 +06.4120372660634|  -1.248 -1.345   |10.20    |K7             |    ~     ~    
23  |CD-39 10378                                                                                              |Star                                  |16 17 07.0759031304 -39 34 15.351082752|340.4027364826966 +07.8939228953841|  -3.615 -4.396   |10.15    |~              |    ~     ~    
24  |HD 325476                                                                                                |Star                                  |16 15 40.0846831896 -41 15 59.701155156|339.0074149860436 +06.8757540931445|   1.108 -8.188   |10.38    |K2             |    ~     ~    
25  |HD 146651                                                                                                |Star                                  |16 18 55.8414088128 -39 56 47.277601404|340.3855053155064 +07.3819590540025| -35.134 -8.310   |10.34    |G3/5           |    ~     ~    
